,kegg,1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31
227,PSPTO_0239,rxn00247_c,32,,,,,,,,,,,,,,
228,PSPTO_2488,rxn00189_c,rxn00469_c,373,,,,,,,,,,,,,
229,PSPTO_2499,rxn05618_c,374,,,,,,,,,,,,,,
230,PSPTO_2510,rxn01418_c,375,,,,,,,,,,,,,,
231,PSPTO_2517,376,,,,,,,,,,,,,,,
232,PSPTO_2568,rxn01364_c,377,,,,,,,,,,,,,,
233,PSPTO_2578,rxn00299_c,378,,,,,,,,,,,,,,
234,PSPTO_2585,rxn00085_c,379,,,,,,,,,,,,,,
235,PSPTO_2586,380,,,,,,,,,,,,,,,
236,PSPTO_2595,rxn01258_c,381,,,,,,,,,,,,,,
237,PSPTO_2611,382,,,,,,,,,,,,,,,
238,PSPTO_0258,33,,,,,,,,,,,,,,,
239,PSPTO_2633,rxn05150_c,383,,,,,,,,,,,,,,
240,PSPTO_2637,rxn01830_c,384,,,,,,,,,,,,,,
241,PSPTO_0259,34,,,,,,,,,,,,,,,
242,,714,,,,,,,,,,,,,,,
243,,rxn00935_c,rxn08900_c,rxn08901_c,715,,,,,,,,,,,,
244,PSPTO_2655,385,,,,,,,,,,,,,,,
245,PSPTO_2660,rxn00509_c,386,,,,,,,,,,,,,,
246,PSPTO_2668,387,,,,,,,,,,,,,,,
247,PSPTO_2673,rxn00506_c,rxn01851_c,388,,,,,,,,,,,,,
248,PSPTO_2680,rxn00149_c,389,,,,,,,,,,,,,,
249,PSPTO_2685,390,,,,,,,,,,,,,,,
250,PSPTO_2697,391,,,,,,,,,,,,,,,
251,PSPTO_2701,rxn00547_c,392,,,,,,,,,,,,,,
252,PSPTO_2702,393,,,,,,,,,,,,,,,
253,PSPTO_2703,rxn01199_c,rxn00629_c,394,,,,,,,,,,,,,
254,PSPTO_2730,rxn00623_c,395,,,,,,,,,,,,,,
255,PSPTO_2732,rxn00693_c,396,,,,,,,,,,,,,,
256,PSPTO_2736,rxn02889_c,397,,,,,,,,,,,,,,
257,PSPTO_2737,rxn01504_c,398,,,,,,,,,,,,,,
258,PSPTO_2738,399,,,,,,,,,,,,,,,
259,PSPTO_2739,rxn00872_c,rxn02866_c,400,,,,,,,,,,,,,
260,PSPTO_2742,rxn02898_c,rxn00991_c,401,,,,,,,,,,,,,
261,PSPTO_2761,rxn01134_c,402,,,,,,,,,,,,,,
262,PSPTO_2767,rxn08954_c,403,,,,,,,,,,,,,,
263,PSPTO_2778,404,,,,,,,,,,,,,,,
264,PSPTO_0272,35,,,,,,,,,,,,,,,
265,PSPTO_2798,rxn10474_c,405,,,,,,,,,,,,,,
266,PSPTO_2862,rxn01297_c,rxn01522_c,406,,,,,,,,,,,,,
267,PSPTO_2865,rxn01014_c,407,,,,,,,,,,,,,,
268,PSPTO_2891,rxn00211_c,408,,,,,,,,,,,,,,
269,PSPTO_2900,rxn00295_c,rxn00214_c,409,,,,,,,,,,,,,
270,PSPTO_2918,410,,,,,,,,,,,,,,,
271,PSPTO_2919,411,,,,,,,,,,,,,,,
272,PSPTO_2920,412,,,,,,,,,,,,,,,
273,PSPTO_2921,413,,,,,,,,,,,,,,,
274,PSPTO_2922,rxn06672_c,414,,,,,,,,,,,,,,
275,PSPTO_2925,415,,,,,,,,,,,,,,,
276,PSPTO_2934,416,,,,,,,,,,,,,,,
277,PSPTO_2935,417,,,,,,,,,,,,,,,
278,PSPTO_2940,rxn03248_c,rxn02680_c,rxn02804_c,rxn03243_c,rxn00676_c,418,,,,,,,,,,
279,PSPTO_2944,rxn03050_c,rxn01188_c,rxn03442_c,rxn04732_c,419,,,,,,,,,,,
280,PSPTO_2952,420,,,,,,,,,,,,,,,
281,PSPTO_2957,421,,,,,,,,,,,,,,,
282,PSPTO_2965,rxn01919_c,422,,,,,,,,,,,,,,
283,PSPTO_2991,rxn05250_c,rxn05251_c,rxn09450_c,rxn00947_c,rxn00988_c,rxn05247_c,rxn05252_c,rxn09449_c,rxn05249_c,rxn09448_c,rxn05736_c,423,,,,
284,PSPTO_3002,424,,,,,,,,,,,,,,,
285,PSPTO_3009,425,,,,,,,,,,,,,,,
286,PSPTO_3022,rxn10262_c,rxn10263_c,rxn09111_c,rxn09114_c,rxn10264_c,rxn09113_c,rxn09110_c,rxn10260_c,rxn09109_c,rxn10259_c,rxn10261_c,rxn09108_c,rxn09112_c,426,,
287,PSPTO_3027,rxn01332_c,427,,,,,,,,,,,,,,
288,PSPTO_3035,rxn00704_c,rxn03512_c,428,,,,,,,,,,,,,
289,PSPTO_3043,rxn01218_c,rxn00913_c,rxn01445_c,rxn00708_c,rxn00132_c,rxn00363_c,rxn00831_c,rxn01145_c,rxn01961_c,rxn01507_c,rxn01521_c,429,,,,
290,PSPTO_3048,rxn01015_c,430,,,,,,,,,,,,,,
291,PSPTO_3064,431,,,,,,,,,,,,,,,
292,PSPTO_0301,36,,,,,,,,,,,,,,,
293,PSPTO_3106,rxn07449_c,432,,,,,,,,,,,,,,
294,PSPTO_3112,rxn00086_c,433,,,,,,,,,,,,,,
295,PSPTO_3113,rxn00213_c,434,,,,,,,,,,,,,,
296,PSPTO_3122,rxn11040_c,rxn01115_c,435,,,,,,,,,,,,,
297,PSPTO_0308,rxn05153_c,rxn05176_c,37,,,,,,,,,,,,,
298,PSPTO_3143,rxn01111_c,436,,,,,,,,,,,,,,
299,PSPTO_0309,38,,,,,,,,,,,,,,,
300,PSPTO_0310,39,,,,,,,,,,,,,,,
301,PSPTO_0311,40,,,,,,,,,,,,,,,
302,PSPTO_3164,437,,,,,,,,,,,,,,,
303,PSPTO_3170,438,,,,,,,,,,,,,,,
304,PSPTO_0317,41,,,,,,,,,,,,,,,
305,PSPTO_3278,rxn04082_c,439,,,,,,,,,,,,,,
306,PSPTO_3280,rxn00780_c,rxn01102_c,440,,,,,,,,,,,,,
307,PSPTO_3285,rxn07845_c,rxn01989_c,441,,,,,,,,,,,,,
308,PSPTO_3287,rxn01101_c,442,,,,,,,,,,,,,,
309,PSPTO_3318,rxn00020_c,rxn00222_c,443,,,,,,,,,,,,,
310,PSPTO_0324,rxn00192_c,42,,,,,,,,,,,,,,
311,PSPTO_3323,rxn02122_c,444,,,,,,,,,,,,,,
312,PSPTO_0325,rxn00646_c,43,,,,,,,,,,,,,,
313,PSPTO_3344,rxn05005_c,rxn05006_c,445,,,,,,,,,,,,,
314,PSPTO_3345,446,,,,,,,,,,,,,,,
315,PSPTO_3356,rxn00199_c,rxn01387_c,447,,,,,,,,,,,,,
316,PSPTO_3360,rxn00800_c,rxn03136_c,448,,,,,,,,,,,,,
317,PSPTO_3364,rxn00336_c,449,,,,,,,,,,,,,,
318,PSPTO_3365,450,,,,,,,,,,,,,,,
319,PSPTO_3366,451,,,,,,,,,,,,,,,
320,PSPTO_3367,452,,,,,,,,,,,,,,,
321,PSPTO_3368,453,,,,,,,,,,,,,,,
322,PSPTO_3369,rxn10122_c,454,,,,,,,,,,,,,,
323,PSPTO_3370,455,,,,,,,,,,,,,,,
324,PSPTO_3371,456,,,,,,,,,,,,,,,
325,PSPTO_3372,457,,,,,,,,,,,,,,,
326,PSPTO_3373,458,,,,,,,,,,,,,,,
327,PSPTO_3374,459,,,,,,,,,,,,,,,
328,PSPTO_3375,460,,,,,,,,,,,,,,,
329,PSPTO_3376,461,,,,,,,,,,,,,,,
330,PSPTO_3377,462,,,,,,,,,,,,,,,
331,PSPTO_3438,rxn09310_c,rxn06060_c,463,,,,,,,,,,,,,
332,PSPTO_3455,464,,,,,,,,,,,,,,,
333,PSPTO_3456,rxn00290_c,465,,,,,,,,,,,,,,
334,PSPTO_0338,44,,,,,,,,,,,,,,,
335,PSPTO_3460,466,,,,,,,,,,,,,,,
336,PSPTO_3463,467,,,,,,,,,,,,,,,
337,PSPTO_3493,rxn00747_c,468,,,,,,,,,,,,,,
338,PSPTO_3514,469,,,,,,,,,,,,,,,
339,PSPTO_3516,470,,,,,,,,,,,,,,,
340,PSPTO_3517,rxn03239_c,rxn01451_c,rxn02933_c,rxn03245_c,rxn02911_c,rxn03240_c,rxn00472_c,rxn02934_c,rxn02167_c,471,,,,,,
341,PSPTO_0346,45,,,,,,,,,,,,,,,
342,PSPTO_3530,472,,,,,,,,,,,,,,,
343,PSPTO_3551,rxn01825_c,473,,,,,,,,,,,,,,
344,PSPTO_3553,474,,,,,,,,,,,,,,,
345,PSPTO_3559,rxn00330_c,475,,,,,,,,,,,,,,
346,PSPTO_3564,rxn01275_c,476,,,,,,,,,,,,,,
347,PSPTO_0357,rxn01256_c,46,,,,,,,,,,,,,,
348,PSPTO_3646,477,,,,,,,,,,,,,,,
349,PSPTO_3658,478,,,,,,,,,,,,,,,
350,PSPTO_0359,rxn00187_c,47,,,,,,,,,,,,,,
351,PSPTO_3660,479,,,,,,,,,,,,,,,
352,PSPTO_3661,480,,,,,,,,,,,,,,,
353,PSPTO_3663,rxn02475_c,481,,,,,,,,,,,,,,
354,PSPTO_3668,rxn01746_c,482,,,,,,,,,,,,,,
355,PSPTO_3694,483,,,,,,,,,,,,,,,
356,PSPTO_3701,484,,,,,,,,,,,,,,,
357,PSPTO_3702,485,,,,,,,,,,,,,,,
358,PSPTO_3721,rxn05440_c,rxn05444_c,rxn05434_c,rxn05437_c,rxn05324_c,rxn05435_c,rxn05450_c,rxn05443_c,rxn05442_c,rxn05436_c,rxn05441_c,rxn05438_c,rxn05433_c,rxn05439_c,486,
359,PSPTO_3733,487,,,,,,,,,,,,,,,
360,PSPTO_3742,488,,,,,,,,,,,,,,,
361,PSPTO_3745,rxn03130_c,489,,,,,,,,,,,,,,
362,PSPTO_3752,490,,,,,,,,,,,,,,,
363,PSPTO_3757,rxn00182_c,491,,,,,,,,,,,,,,
364,PSPTO_3772,rxn01828_c,492,,,,,,,,,,,,,,
365,PSPTO_3788,493,,,,,,,,,,,,,,,
366,PSPTO_3793,rxn00077_c,494,,,,,,,,,,,,,,
367,PSPTO_3806,rxn00737_c,495,,,,,,,,,,,,,,
368,PSPTO_3810,rxn05957_c,rxn00952_c,496,,,,,,,,,,,,,
369,PSPTO_3811,rxn01362_c,497,,,,,,,,,,,,,,
370,PSPTO_3814,rxn01603_c,498,,,,,,,,,,,,,,
371,PSPTO_3815,rxn06673_c,499,,,,,,,,,,,,,,
372,PSPTO_3816,rxn00798_c,rxn02508_c,500,,,,,,,,,,,,,
373,PSPTO_3826,501,,,,,,,,,,,,,,,
374,PSPTO_3827,rxn01513_c,502,,,,,,,,,,,,,,
375,PSPTO_3829,rxn03841_c,503,,,,,,,,,,,,,,
376,PSPTO_3830,rxn05392_c,rxn05367_c,rxn05404_c,rxn05400_c,rxn05413_c,rxn05417_c,rxn05359_c,rxn05371_c,rxn05396_c,rxn05388_c,rxn05363_c,rxn05349_c,rxn05379_c,rxn05375_c,rxn05384_c,504
377,PSPTO_3833,505,,,,,,,,,,,,,,,
378,PSPTO_3835,506,,,,,,,,,,,,,,,
379,PSPTO_3842,rxn02285_c,507,,,,,,,,,,,,,,
380,PSPTO_3843,508,,,,,,,,,,,,,,,
381,PSPTO_3845,rxn03181_c,509,,,,,,,,,,,,,,
382,PSPTO_3860,510,,,,,,,,,,,,,,,
383,PSPTO_3862,511,,,,,,,,,,,,,,,
384,PSPTO_3871,512,,,,,,,,,,,,,,,
385,PSPTO_3883,513,,,,,,,,,,,,,,,
386,PSPTO_0004,2,,,,,,,,,,,,,,,
387,PSPTO_0383,rxn00126_c,48,,,,,,,,,,,,,,
388,PSPTO_3902,rxn05733_c,rxn00055_c,514,,,,,,,,,,,,,
389,PSPTO_3920,515,,,,,,,,,,,,,,,
390,PSPTO_0385,rxn00785_c,rxn01200_c,49,,,,,,,,,,,,,
391,PSPTO_3924,rxn00159_c,516,,,,,,,,,,,,,,
392,PSPTO_0386,50,,,,,,,,,,,,,,,
393,PSPTO_0387,rxn01100_c,51,,,,,,,,,,,,,,
394,PSPTO_3950,517,,,,,,,,,,,,,,,
395,PSPTO_3959,rxn02988_c,518,,,,,,,,,,,,,,
396,PSPTO_0390,rxn00786_c,rxn01870_c,52,,,,,,,,,,,,,
